id,Position,Team_Id,Tournament_Id,MP,W,L,D,GF,GA,GD,PTS
1,9,2432906,1,8,0,7,1,14,41,-27,1
2,4,2676060,2,2,0,2,0,0,4,-4,0
3,4,2389619,3,8,3,4,1,14,13,1,10
4,10,2417806,4,10,1,9,0,8,36,-28,3
5,2,2389638,5,10,6,3,1,30,20,10,19
6,8,2415429,4,10,4,5,1,10,18,-8,13
7,1,2415411,7,10,8,0,2,42,12,30,26
8,1,2389658,8,10,8,1,1,56,22,34,25
9,3,2415343,9,9,6,2,1,41,25,16,19
10,5,2428568,10,9,4,4,1,19,13,6,13
11,3,2328936,11,10,4,5,1,9,16,-7,13
12,4,2328854,12,10,4,3,3,17,20,-3,15
13,9,2328881,13,9,0,6,3,11,25,-14,3
14,2,2432872,14,10,9,1,0,44,17,27,27
15,3,2432874,15,10,5,3,2,29,21,8,17
16,3,2417792,3,8,3,4,1,18,14,4,10
17,5,2417797,17,10,1,5,4,21,29,-8,7
18,4,2419072,9,9,4,4,1,28,30,-2,13
19,12,2419067,19,11,0,9,2,15,51,-36,2
20,3,2417789,20,8,3,5,0,15,18,-3,9
21,1,2417732,21,9,9,0,0,57,9,44,27
22,10,2417761,22,9,0,8,1,7,36,-29,1
23,3,2417821,23,10,6,3,1,23,16,7,19
24,2,2417787,24,8,5,0,3,28,7,20,18
25,2,2419060,26,9,7,1,1,35,12,23,22
26,6,2323350,27,10,0,10,0,6,69,-51,0
27,2,2323467,11,10,7,3,0,21,8,13,21
28,4,2323332,17,10,2,6,2,11,23,-12,8
29,2,2323551,30,9,6,2,1,13,6,7,19
30,1,2416085,31,10,8,1,1,28,15,13,25
31,5,2416077,32,10,3,7,0,20,34,-14,9
32,1,2368932,13,9,8,0,1,38,11,27,25
33,2,2416054,17,10,6,2,2,30,19,11,20
34,2,2416046,35,10,6,1,3,29,14,15,21
35,3,2416146,36,10,6,4,0,20,7,13,18
36,7,2416039,37,10,2,6,2,20,33,-13,8
37,1,2416051,9,9,8,0,1,46,8,38,25
38,5,2415981,22,9,4,3,2,13,12,1,14
39,5,2416008,26,9,3,3,3,19,15,4,12
40,8,2415999,41,9,3,6,0,14,17,-3,9
41,7,2416141,13,9,2,6,1,8,24,-16,7
42,6,2695899,43,3,0,3,0,2,15,-13,0
43,4,2695895,44,3,0,2,1,2,9,-7,1
44,4,2424405,45,10,3,5,2,7,20,-13,11
45,3,2695897,46,4,1,3,0,3,17,-14,3
46,5,2416133,47,10,2,8,0,14,40,-26,6
47,2,2424404,4,10,7,2,1,36,17,19,22
48,8,2424399,9,9,2,5,2,18,30,-12,8
49,5,2424400,19,11,6,3,2,28,14,14,20
50,6,2424364,23,10,3,5,2,19,19,0,11
51,6,2424396,52,10,0,10,0,13,48,-35,0
52,5,2424360,13,9,4,4,1,15,19,-4,13
53,1,2424356,12,10,8,1,1,39,9,30,25
54,2,2430756,21,9,8,1,0,34,15,19,24
55,6,2430750,11,10,1,6,3,9,19,-10,6
56,1,2677819,46,4,4,0,0,16,0,16,12
57,3,2409181,32,10,4,5,1,28,25,3,13
58,1,2427427,52,10,10,0,0,49,9,40,30
59,5,2427411,27,10,2,7,1,13,31,-18,7
60,6,2427418,37,10,2,5,3,19,37,-18,9
61,2,2677814,2,4,2,1,1,7,4,3,7
62,4,2427454,23,10,3,1,6,8,5,3,15
63,4,2427462,41,9,5,3,1,20,7,13,16
64,4,2427471,65,8,3,5,0,18,18,0,9
65,4,2428668,66,10,4,4,2,21,23,0,14
66,7,2409136,67,9,4,5,0,33,41,-8,12
67,11,2421583,4,10,0,10,0,5,51,-43,0
68,10,2421600,31,10,1,9,0,12,37,-25,3
69,3,2421592,66,10,4,4,2,18,25,-7,14
70,4,2421569,7,10,3,5,2,22,28,-6,11
71,6,2421577,32,10,2,6,2,22,34,-12,8
72,5,2421562,15,10,2,5,3,28,28,0,9
73,3,2421535,74,10,4,1,5,33,18,15,17
74,5,2421539,14,10,4,4,2,29,17,12,14
75,5,2421542,76,10,3,6,1,31,37,-6,10
76,5,2421514,35,10,3,7,0,15,27,-12,9
77,3,2421601,24,8,4,2,2,31,12,14,14
78,4,2421598,36,10,4,6,0,7,24,-17,12
79,8,2421575,80,10,0,10,0,4,48,-43,0
80,10,2421571,81,9,0,7,2,10,36,-25,2
81,7,2421597,23,10,2,5,3,15,22,-7,9
82,6,2421554,47,10,0,10,0,8,59,-51,0
83,3,2409109,17,10,5,2,3,30,25,5,18
84,2,2409044,20,8,5,2,1,21,17,4,16
85,3,2409080,86,9,4,3,2,22,20,2,14
