Team_Id,Club_Id,Team_Name
2323039,3366,Riverdale Raptors
2323332,3529,Yorktown Energy
2323350,3529,Yorktown Raiders
2323467,3529,Yorktown Waves
2323551,3529,Yorktown Cyclones
2328854,3524,Gotham Girls Courage
2328881,3524,Gotham Girls Royals
2328936,3524,Gotham Girls United
2330057,12480,Hillcrest FC Allstars
2330083,12480,Hillcrest FC Blaze
2330632,3518,Alba Bobcats
2330648,3518,Alba Tigers
2335643,7503,Croton FC Eagles
2336302,7503,Croton FC B2014
2336305,7503,Croton FC G2013 Orange
2336307,7503,Croton FC G2013 White
2336844,3506,Don Bosco Hawks Fenix
2336862,3506,Don Bosco Hawks Wild
2336892,3506,Don Bosco Hawks Santos
2337663,8603,Quickstrike FC  Patriots 2012
2337750,8603,Quickstrike FC  Patriots 2014
2341059,3362,LMFC Green Sharks
2341091,3362,LMFC Blue Sharks
2341124,3362,LMFC Yellow Sharks
2341134,3362,LMFC Orange Sharks
2341153,3362,LMFC Green Hawks
2341173,3362,LMFC Blue Hawks
2341183,3362,LMFC Yellow Hawks
2341208,3362,LMFC Blue Atletico
2341231,3362,LMFC White Atletico
2344972,3506,Don Bosco Hawks Lightning
2360505,3366,Riverdale Storm
2361085,3366,Riverdale Hawks
2362544,3366,Riverdale United
2363010,3377,Mahopac Arrows
2367693,3377,Mahopac Hurricanes
2367704,3377,Mahopac Lightning
2367778,3377,Mahopac Mayhem
2367791,3377,Mahopac Pantherz Gold
2367827,3377,Mahopac Spirit
2367843,3377,Mahopac Tigers
2367862,3377,Mahopac Panthers
2367872,3377,Mahopac Gold
2368932,7559,Westchester Flames G2013
2369622,3513,North Salem Orange Tigers 2013
2369657,3513,North Salem Red Tigers 2014
2369682,3513,North Salem Purple Tigers 2012
2369699,3513,North Salem Green Tigers 2013
2375147,3517,Bedford Vipers
2375229,3517,Bedford Hawks
2375421,3517,Bedford Tigers
2375945,3517,Bedford Bolts
2377112,3368,Rye Brook Predators
2377145,3368,Rye Brook Dragons
